index,millis,x,y
0,0,651,616
0,366,651,615
0,381,651,614
0,389,650,613
0,397,649,610
0,405,648,607
0,413,647,602
0,421,645,590
0,429,642,576
0,437,639,562
0,445,633,548
0,453,628,534
0,461,623,522
0,469,617,508
0,477,610,493
0,485,603,478
0,493,596,460
0,502,591,445
0,509,586,430
0,517,581,411
0,526,576,398
0,533,574,387
0,541,571,374
0,549,568,365
0,557,568,356
0,565,565,347
0,573,563,338
0,581,561,331
0,589,559,324
0,597,558,318
0,605,558,312
0,613,556,308
0,621,556,307
0,629,556,306
0,686,556,306
