index,millis,x,y
0,0,464,759
0,66,465,760
0,82,466,760
0,90,467,760
0,98,469,759
0,106,474,759
0,114,478,759
0,122,486,759
0,130,503,759
0,138,522,759
0,146,541,759
0,154,570,760
0,162,595,763
0,170,620,765
0,178,655,770
0,186,686,775
0,194,715,780
0,201,752,785
0,210,781,787
0,218,806,790
0,226,831,792
0,234,860,794
0,242,881,794
0,249,902,796
0,257,925,796
0,265,944,797
0,274,959,800
0,281,977,800
0,290,991,800
0,298,1004,800
0,306,1017,800
0,314,1026,800
0,322,1031,800
0,330,1034,800
0,337,1035,800
0,489,1035,799
0,513,1035,797
0,521,1035,797
0,530,1036,797
0,546,1036,796
0,565,1036,796
