index,millis,x,y
0,0,159,519
0,162,161,520
0,170,163,522
0,178,165,524
0,186,168,525
0,193,175,527
0,201,182,529
0,209,189,532
0,217,197,532
0,225,205,534
0,233,215,537
0,241,225,539
0,249,235,541
0,257,245,543
0,265,253,543
0,273,261,545
0,281,270,548
0,289,274,548
0,297,278,549
0,305,280,549
0,313,281,549
0,657,281,550
0,665,281,552
0,673,282,555
0,681,282,558
0,689,282,560
0,697,282,564
0,705,282,567
0,713,282,571
0,721,282,575
0,729,281,578
0,1297,282,577
0,1321,283,577
0,1329,284,577
0,1345,285,577
0,1361,286,577
0,1377,287,577
0,1385,287,576
0,1401,289,575
0,1409,291,574
0,1417,294,573
0,1426,299,572
0,1433,306,571
0,1441,319,568
0,1449,341,563
0,1458,364,558
0,1465,387,553
0,1473,420,546
0,1481,449,539
0,1489,478,532
0,1497,515,519
0,1505,546,506
0,1513,577,493
0,1521,620,478
0,1529,655,465
0,1537,686,452
0,1545,725,437
0,1553,752,426
0,1561,777,415
0,1569,808,404
0,1577,827,395
0,1585,846,388
0,1593,863,381
0,1601,876,374
0,1609,885,369
0,1617,892,364
0,1626,897,360
0,1633,899,356
0,1641,900,354
0,1649,902,352
0,1657,902,351
0,1665,903,349
0,1673,904,347
0,1681,905,345
0,1689,906,341
0,1697,908,337
0,1705,909,334
0,1713,912,331
0,1721,913,327
0,1729,915,323
0,1737,918,318
0,1745,920,312
0,1753,922,310
0,1761,923,307
0,1769,924,305
0,1777,924,304
0,1785,925,302
0,1793,925,300
0,1801,925,299
0,1809,926,297
0,1817,926,296
0,1825,927,294
0,1833,927,292
0,1841,928,289
0,1849,929,287
0,1857,930,283
0,1865,931,280
0,1873,932,277
0,1881,932,273
0,1889,932,269
0,1897,932,266
0,1905,933,263
0,1913,933,260
0,1921,934,257
0,1929,935,253
0,1937,936,250
0,1945,936,247
0,1953,938,242
0,1961,939,238
0,1969,941,233
0,1977,941,229
0,1985,942,225
0,1993,943,223
0,2006,943,221
0,2009,943,219
0,2017,943,217
0,2025,943,215
0,2033,944,214
0,2041,945,212
0,2049,945,211
0,2057,946,209
0,2065,946,208
0,2073,946,207
0,2089,947,206
0,2105,947,205
0,2113,949,202
0,2121,950,199
0,2129,952,196
0,2137,953,195
0,2145,955,193
0,2153,956,192
0,2161,959,190
0,2169,960,188
0,2177,961,187
0,2185,962,186
0,2193,962,185
0,2201,964,184
0,2209,965,183
0,2227,966,182
0,2233,968,181
0,2241,969,180
0,2249,969,179
0,2257,970,178
0,2265,972,177
0,2273,972,176
0,2297,973,176
0,2410,973,176
