index,millis,x,y
0,0,685,972
0,182,683,969
0,190,681,965
0,198,676,955
0,206,665,936
0,214,654,917
0,222,643,895
0,230,630,865
0,238,617,838
0,246,604,813
0,254,591,776
0,262,578,747
0,270,565,718
0,278,550,685
0,286,539,664
0,294,532,645
0,302,525,628
0,310,520,619
0,318,518,612
0,326,517,606
0,334,515,602
0,342,514,598
0,350,512,592
0,358,512,591
0,366,512,589
0,374,512,587
0,590,511,587
0,606,510,587
0,614,509,587
0,622,507,587
0,630,503,587
0,638,497,587
0,646,486,587
0,654,474,589
0,662,453,592
0,670,434,595
0,678,415,598
0,686,396,603
0,694,371,612
0,702,350,619
0,710,323,628
0,718,302,633
0,726,285,638
0,734,266,640
0,742,251,640
0,750,240,638
0,758,227,636
0,766,220,634
0,774,214,632
0,998,212,632
0,1006,212,633
0,1022,212,634
0,1030,211,634
0,1086,212,635
0,1094,213,635
0,1102,214,635
0,1118,215,635
0,1134,216,635
0,1150,217,635
0,1158,219,635
0,1166,220,635
0,1174,221,635
0,1182,222,635
0,1190,223,635
0,1198,225,634
0,1206,227,634
0,1214,230,634
0,1222,238,635
0,1230,246,635
0,1238,256,635
0,1246,268,635
0,1254,278,635
0,1262,288,635
0,1270,300,635
0,1278,312,635
0,1286,322,635
0,1294,333,635
0,1302,342,635
0,1310,348,635
0,1318,352,635
0,1326,354,635
0,2582,355,636
0,2606,354,636
0,25582,355,636
0,25614,356,636
0,25622,357,635
0,25630,357,633
0,25638,356,632
0,25646,355,632
0,25854,354,632
0,25862,353,633
0,25894,352,634
0,25910,351,634
0,25918,350,635
0,25934,350,636
0,25958,351,637
0,25974,352,636
0,25982,353,636
0,26006,354,636
0,26062,354,635
0,26077,354,633
0,26086,356,631
0,26094,360,625
0,26102,368,615
0,26109,389,592
0,26118,410,571
0,26126,431,548
0,26133,464,507
0,26141,495,470
0,26149,526,433
0,26158,561,384
0,26166,590,351
0,26174,613,320
0,26182,640,287
0,26189,657,262
0,26197,672,239
0,26205,687,214
0,26213,698,195
0,26221,707,176
0,26229,716,159
0,26237,723,140
0,26246,730,127
0,26253,735,118
0,26262,735,113
0,26429,737,113
0,26437,741,113
0,26445,747,111
0,26453,758,106
0,26461,767,102
0,26469,775,95
0,26477,782,89
0,26485,788,84
0,26493,793,79
0,26501,797,78
0,26510,800,77
0,26526,801,77
0,26574,802,75
0,26581,803,75
0,26589,804,74
0,26598,805,74
0,26605,807,73
0,26614,809,72
0,26621,810,71
0,26630,811,71
0,26638,812,70
0,26646,813,70
0,26661,814,70
0,26669,815,70
0,26677,816,69
0,26685,817,69
0,26693,818,68
0,26774,819,68
0,26815,819,68
