index,millis,x,y
0,0,1019,465
0,162,1020,466
0,170,1022,467
0,178,1030,470
0,185,1040,475
0,193,1052,479
0,201,1065,484
0,209,1084,491
0,217,1101,498
0,225,1116,503
0,233,1133,510
0,241,1146,512
0,249,1153,514
0,257,1155,514
0,465,1156,513
0,473,1157,513
0,481,1158,513
0,505,1157,513
0,513,1156,513
0,521,1155,512
0,529,1154,512
0,537,1154,511
0,553,1153,511
0,561,1152,510
0,585,1151,510
0,833,1150,511
0,849,1150,512
0,857,1150,513
0,865,1150,514
0,873,1150,515
0,881,1149,517
0,889,1149,518
0,897,1149,520
0,905,1149,523
0,913,1149,525
0,921,1148,528
0,929,1149,533
0,937,1149,536
0,945,1148,540
0,953,1147,545
0,961,1146,548
0,969,1146,550
0,977,1145,553
0,985,1144,555
0,993,1144,557
0,1001,1143,559
0,1009,1143,560
0,1025,1142,561
0,1649,1142,562
0,2434,1141,562
0,2602,1141,561
0,2641,1141,560
0,2673,1141,559
0,2705,1141,558
0,2745,1141,557
0,5730,1141,556
0,6657,1141,555
0,7859,1140,554
0,7865,1140,553
0,7873,1139,552
0,7889,1138,551
0,7897,1137,549
0,7906,1136,548
0,7913,1135,547
0,7921,1133,545
0,7929,1132,543
0,7937,1131,541
0,7945,1130,539
0,7953,1129,535
0,7961,1128,533
0,7969,1126,530
0,7977,1125,528
0,7985,1124,526
0,7993,1124,524
0,8001,1122,522
0,8009,1122,521
0,8017,1121,519
0,8025,1120,517
0,8033,1119,516
0,8041,1119,515
0,8049,1117,513
0,8057,1116,512
0,8065,1116,511
0,8073,1115,511
0,8081,1114,510
0,8097,1113,510
0,8185,1113,509
0,9142,1112,509
0,9490,1112,508
0,10473,1115,506
0,10481,1118,502
0,10489,1129,488
0,10497,1146,459
0,10505,1163,430
0,10514,1180,397
0,10521,1201,348
0,10529,1220,311
0,10537,1239,276
0,10545,1262,237
0,10553,1281,212
0,10561,1298,191
0,10569,1315,170
0,10577,1328,157
0,10585,1339,148
0,10593,1350,139
0,10601,1357,132
0,10609,1362,127
0,10617,1363,125
0,10625,1364,125
0,10633,1364,124
0,10659,1365,123
0,10673,1365,122
0,10681,1366,122
0,10689,1366,121
0,10729,1366,122
0,10737,1366,124
0,10745,1365,127
0,10753,1364,129
0,10761,1363,132
0,10769,1363,134
0,10777,1363,136
0,10785,1363,137
0,10817,1364,138
0,10825,1365,138
0,10833,1367,138
0,10841,1370,138
0,10849,1372,138
0,10857,1375,138
0,10865,1379,138
0,10873,1383,139
0,10881,1386,140
0,10889,1389,141
0,10897,1391,142
0,10905,1392,142
0,10913,1393,143
0,10921,1394,144
0,10929,1395,145
0,10937,1396,146
0,10953,1397,147
0,10969,1398,148
0,10995,1398,148
