index,millis,x,y
0,0,235,263
0,1,235,264
0,1,237,264
0,1,243,265
0,1,256,267
0,1,271,270
0,1,293,275
0,2,316,279
0,10,363,283
0,18,390,283
0,418,390,283
0,426,390,283
0,441,390,282
0,818,390,282
0,826,390,280
0,834,390,278
0,842,390,276
0,850,388,271
0,858,386,266
0,866,384,262
0,874,380,254
0,882,378,249
0,890,378,244
0,898,377,242
0,1097,377,242
0,1105,376,242
0,1113,375,242
0,1121,374,242
0,1129,373,241
0,1137,371,239
0,1145,368,236
0,1153,365,232
0,1161,360,227
0,1170,356,223
0,1178,352,220
0,1186,346,215
0,1194,343,212
0,1202,338,209
0,1210,332,205
0,1218,329,204
0,1226,327,204
0,1234,323,202
0,1242,321,202
0,1250,320,202
0,1258,320,202
0,1266,318,202
0,1282,317,202
0,1290,317,203
0,1298,316,204
0,1306,316,205
0,1314,316,205
0,1329,316,206
0,1377,315,206
0,1385,315,205
0,1393,314,203
0,1401,314,200
0,1409,313,197
0,1417,312,194
0,1425,311,191
0,1433,311,187
0,1441,310,186
0,1450,309,185
0,1458,309,184
0,2386,309,184
