index,millis,x,y
0,0,382,493
0,1,382,494
0,17,382,495
0,33,382,495
0,49,382,496
0,65,382,497
0,713,382,497
0,721,382,498
0,738,382,498
0,754,381,499
0,762,381,499
0,770,381,499
0,777,381,500
0,794,380,501
0,818,380,501
0,825,379,501
0,1490,379,502
0,1498,379,502
0,1529,379,503
0,1537,379,503
0,1577,379,503
0,2729,379,503
0,2737,379,503
0,2753,379,503
0,2761,379,502
0,2769,379,502
0,2777,379,501
0,2793,379,500
0,2969,379,500
0,2977,379,501
0,2985,379,501
0,2993,379,502
0,3001,379,502
0,3009,379,503
0,3017,379,503
0,3025,379,504
0,3033,379,505
0,3049,379,505
0,4377,378,505
0,4385,377,505
0,4393,375,504
0,4401,369,501
0,4409,363,500
0,4417,354,496
0,4425,339,492
0,4433,326,487
0,4441,312,481
0,4449,287,473
0,4457,270,467
0,4465,256,462
0,4473,231,453
0,4481,217,449
0,4489,203,445
0,4498,184,439
0,4506,172,435
0,4513,161,431
0,4522,149,428
0,4529,142,425
0,4537,136,423
0,4545,129,420
0,4553,124,418
0,4561,122,418
0,4569,119,416
0,4577,118,415
0,4585,117,415
0,4665,117,414
0,4673,116,414
0,4681,115,414
0,4689,114,413
0,4697,113,412
0,4705,112,412
0,4713,110,411
0,4721,110,410
0,4729,108,410
0,4737,107,408
0,4745,106,407
0,4753,104,406
0,4762,102,404
0,4770,100,402
0,4778,98,398
0,4786,96,397
0,4793,94,395
0,4801,93,393
0,4809,91,391
0,4817,89,389
0,4825,88,387
0,4833,86,385
0,4841,86,385
0,4849,86,384
0,4857,85,383
0,4865,84,382
0,4873,83,382
0,4881,82,380
0,4889,82,380
0,4897,81,379
0,4905,81,379
0,4913,81,378
0,4921,80,378
0,4929,79,376
0,4937,79,376
0,4945,78,374
0,4953,78,373
0,4961,78,372
0,4969,77,370
0,4977,77,370
0,4985,76,368
0,4993,76,367
0,5001,76,365
0,5009,75,363
0,5017,74,362
0,5025,74,360
0,5033,73,358
0,5041,73,356
0,5049,73,355
0,5057,72,353
0,5065,71,351
0,5073,71,349
0,5081,71,348
0,5089,70,345
0,5097,70,345
0,5105,68,343
0,5113,68,342
0,5121,68,341
0,5129,67,340
0,5137,67,339
0,5145,66,338
0,5154,66,337
0,5162,65,337
0,5185,65,336
0,5321,64,336
0,5338,64,336
0,5345,62,336
0,5361,62,336
0,5377,62,336
0,5617,62,336
0,6697,62,336
0,6721,62,336
0,6745,62,336
0,6993,62,336
0,7905,62,336
