index,millis,x,y
0,0,725,33
0,47,726,33
0,55,728,35
0,64,738,43
0,71,748,52
0,79,762,64
0,87,794,98
0,95,822,130
0,103,852,163
0,111,885,205
0,119,937,263
0,127,977,307
0,135,1046,367
0,143,1097,404
0,151,1146,439
0,159,1211,477
0,167,1242,493
0,175,1262,502
0,183,1285,509
0,191,1293,510
0,199,1298,511
0,207,1303,511
0,215,1304,511
0,416,1304,511
0,439,1304,510
0,447,1304,510
0,455,1306,508
0,464,1309,508
0,472,1313,508
0,479,1321,508
0,488,1330,508
0,495,1338,509
0,504,1352,514
0,511,1363,516
0,519,1372,519
0,527,1386,523
0,535,1394,525
0,544,1401,527
0,551,1408,529
0,559,1410,529
0,567,1411,529
0,736,1411,531
0,744,1412,535
0,752,1413,539
0,760,1414,545
0,768,1415,554
0,776,1415,560
0,784,1416,567
0,792,1416,575
0,799,1417,580
0,807,1418,586
0,816,1419,594
0,823,1420,598
0,832,1420,602
0,840,1420,608
0,848,1420,611
0,856,1420,612
0,864,1420,614
0,872,1420,615
0,880,1420,615
0,904,1420,615
