index,millis,x,y
0,0,1076,442
0,127,1077,443
0,135,1078,447
0,143,1079,453
0,151,1080,460
0,159,1082,472
0,167,1083,482
0,175,1084,493
0,183,1085,512
0,191,1085,525
0,199,1085,536
0,207,1085,548
0,215,1086,556
0,223,1088,561
0,231,1090,567
0,239,1091,570
0,247,1092,572
0,255,1092,573
0,263,1092,574
0,271,1092,575
0,319,1092,575
0,327,1092,575
0,335,1090,575
0,343,1090,575
0,351,1088,575
0,359,1086,575
0,367,1083,575
0,375,1080,575
0,383,1073,575
0,391,1064,575
0,399,1055,577
0,407,1031,582
0,415,1010,588
0,425,984,596
0,431,939,611
0,439,908,623
0,447,878,633
0,455,836,650
0,463,813,661
0,471,787,672
0,479,751,687
0,487,728,696
0,495,706,703
0,503,676,715
0,511,656,722
0,519,642,727
0,527,619,736
0,534,608,740
0,542,599,746
0,550,588,751
0,558,582,754
0,566,579,757
0,575,575,759
0,582,573,760
0,590,572,762
0,599,569,765
0,607,569,766
0,615,568,767
0,623,567,770
0,631,566,771
0,639,565,772
0,647,564,775
0,655,563,776
0,663,562,777
0,671,561,780
0,679,560,781
0,687,558,783
0,695,556,786
0,703,554,787
0,711,552,789
0,719,548,792
0,727,545,795
0,735,543,797
0,743,537,800
0,751,532,803
0,759,527,805
0,767,521,810
0,775,515,813
0,783,511,817
0,790,502,822
0,798,496,824
0,806,491,827
0,815,484,831
0,823,480,833
0,831,476,836
0,839,472,837
0,847,468,840
0,855,465,841
0,863,464,843
0,871,461,844
0,879,460,845
0,887,459,845
0,895,457,846
0,903,456,847
0,911,455,847
0,1007,455,847
0,1031,455,848
0,1039,454,848
0,1103,454,849
0,1127,454,849
0,1143,454,850
0,1159,454,851
0,1167,454,851
0,1183,454,852
0,1199,454,852
0,1215,454,853
0,1239,453,853
0,1415,453,854
0,1431,453,855
0,1439,453,855
0,1447,453,856
0,1455,453,856
0,1462,453,857
0,1471,453,858
0,1478,452,859
0,1486,452,859
0,1494,452,860
0,1510,451,861
0,1519,451,862
0,1839,451,862
0,1855,451,863
0,1871,451,863
0,1879,451,864
0,1887,451,864
0,1895,451,865
0,1903,451,866
0,1911,451,866
0,1919,451,867
0,1935,450,868
0,1951,449,869
0,1959,448,870
0,1967,447,871
0,1975,445,871
0,1983,443,872
0,1991,440,873
0,1999,438,874
0,2007,433,875
0,2015,427,876
0,2023,423,877
0,2031,415,878
0,2039,409,879
0,2047,405,879
0,2055,395,879
0,2063,390,879
0,2071,386,879
0,2079,378,879
0,2087,372,879
0,2095,367,879
0,2103,360,879
0,2111,357,879
0,2119,354,879
0,2127,351,878
0,2135,349,878
0,2143,348,878
0,2151,345,876
0,2158,345,876
0,2175,344,874
0,2183,344,874
0,2191,343,873
0,2199,343,873
0,2207,342,872
0,2215,342,872
0,2223,341,871
0,2239,341,870
0,2246,340,869
0,2254,340,869
0,2263,339,867
0,2271,339,867
0,2279,338,866
0,2295,338,866
0,2303,338,865
0,2311,338,865
0,2319,338,864
0,2327,338,863
0,2335,338,863
0,2343,338,862
0,2351,337,862
0,2367,336,860
0,2383,335,860
0,2391,334,859
0,2399,334,859
0,2407,333,858
0,2415,332,858
0,2423,332,857
0,2439,332,856
0,2455,332,856
0,2503,332,856
