index,millis,x,y
0,0,674,36
0,436,674,37
0,444,673,41
0,452,669,54
0,460,664,66
0,468,658,80
0,476,650,107
0,484,645,124
0,492,640,138
0,500,631,161
0,508,628,170
0,516,624,179
0,524,618,189
0,532,614,196
0,540,610,202
0,548,604,210
0,556,600,216
0,852,608,217
0,860,624,220
0,868,635,223
0,876,645,226
0,884,663,229
0,892,675,233
0,900,686,236
0,908,704,241
0,917,714,244
0,924,727,250
0,932,747,261
0,940,763,270
0,948,779,279
0,956,805,292
0,964,818,300
0,972,829,306
0,980,839,312
0,988,849,318
0,996,855,323
0,1004,860,328
0,1012,866,333
0,1020,870,337
0,1028,874,341
0,1036,879,347
0,1045,881,349
0,1052,886,355
0,1060,894,363
0,1068,900,368
0,1076,906,373
0,1084,913,379
0,1092,919,383
0,1100,924,386
0,1108,929,389
0,1116,932,390
0,1124,934,391
0,1132,937,393
0,1140,940,394
0,1149,943,397
0,1157,946,398
0,1164,950,402
0,1172,951,403
0,1180,953,405
0,1188,954,406
0,1196,955,407
0,1204,955,407
0,1300,955,407
0,1316,954,407
0,1324,953,407
0,1333,953,407
0,1340,951,407
0,1348,950,408
0,1356,949,408
0,1372,949,408
0,1380,948,409
0,1476,948,409
0,1492,947,410
0,1572,947,410
0,1580,946,410
0,1588,945,410
0,1604,945,410
0,1612,944,410
0,1620,944,410
0,1628,943,410
0,1701,943,410
