index,millis,x,y
0,0,740,566
0,1,741,566
0,1,743,567
0,1,750,569
0,1,760,570
0,4,771,572
0,12,787,573
0,20,799,573
0,28,810,573
0,37,827,569
0,44,844,564
0,52,858,559
0,60,870,554
0,69,876,551
0,77,879,548
0,85,881,548
0,93,881,547
0,1109,881,547
0,1116,879,547
0,1124,878,546
0,1133,874,546
0,1141,871,546
0,1149,868,545
0,1157,866,544
0,1165,864,543
0,1173,863,543
0,1181,860,542
0,1189,859,541
0,1197,859,541
0,1205,858,540
0,1213,857,539
0,1221,857,537
0,1229,854,534
0,1237,852,532
0,1245,849,529
0,1253,847,527
0,1261,845,526
0,1269,844,525
0,1277,842,524
0,1285,841,524
0,1309,841,524
