index,millis,x,y
0,0,203,422
0,2224,202,422
0,2232,202,422
0,2240,202,422
0,2248,201,420
0,2256,201,420
0,2264,200,419
0,2272,199,417
0,2280,199,417
0,2288,199,416
0,2296,198,415
0,2304,198,414
0,2312,198,413
0,2320,198,413
0,2328,198,412
0,2336,198,411
0,2344,198,411
0,2352,198,410
0,2368,198,410
0,2376,198,409
0,2392,198,409
0,2408,198,408
0,2424,198,407
0,2440,198,407
0,2448,198,406
0,2456,198,406
0,2464,199,404
0,2472,199,404
0,2480,199,403
0,2488,199,403
0,2496,199,402
0,2504,200,402
0,2511,201,400
0,2520,201,400
0,2528,201,398
0,2536,201,398
0,2544,202,397
0,2552,202,397
0,2560,202,396
0,2568,202,395
0,2576,203,394
0,2584,204,393
0,2592,204,391
0,2600,204,390
0,2608,206,388
0,2616,206,386
0,2623,206,384
0,2632,207,383
0,2639,208,381
0,2648,208,380
0,2656,208,378
0,2664,209,378
0,2672,209,376
0,2680,209,376
0,2687,210,374
0,2695,210,374
0,2704,210,373
0,2712,210,372
0,2720,210,372
0,2728,210,371
0,2736,210,370
0,2744,210,370
0,2752,210,369
0,2768,210,369
0,2776,210,368
0,2784,210,368
0,2792,210,367
0,2800,210,366
0,2816,210,366
0,4472,211,366
0,4480,211,367
0,4488,211,368
0,4496,212,370
0,4504,212,371
0,4511,212,372
0,4520,212,374
0,4528,212,375
0,4536,212,377
0,4544,212,379
0,4552,212,380
0,4559,212,382
0,4567,212,383
0,4576,212,384
0,4583,212,385
0,4592,212,386
0,4600,212,387
0,4608,212,387
0,4616,212,388
0,4632,212,388
0,4704,212,388
