index,millis,x,y
0,0,355,294
0,12,356,294
0,20,362,295
0,28,371,296
0,36,382,297
0,44,400,297
0,52,414,297
0,60,427,297
0,67,449,297
0,76,462,297
0,83,474,297
0,91,487,297
0,99,502,297
0,107,511,297
0,115,523,298
0,123,529,300
0,131,535,301
0,139,539,302
0,147,540,303
0,156,541,303
0,292,541,303
0,4828,541,305
0,4836,533,312
0,4844,526,319
0,4852,517,327
0,4860,502,339
0,4868,492,344
0,4876,484,349
0,4884,476,355
0,4892,470,358
0,4900,467,360
0,4908,461,361
0,4915,459,362
0,4923,456,362
0,4931,454,362
0,4939,452,362
0,4947,449,362
0,4955,448,362
0,4963,446,361
0,4971,444,361
0,4979,440,360
0,4987,435,360
0,4995,432,360
0,5003,427,360
0,5012,424,360
0,5019,421,360
0,5027,415,360
0,5035,413,360
0,5043,410,360
0,5051,408,359
0,5059,406,359
0,5068,405,359
0,5076,402,357
0,5084,401,356
0,5092,400,356
0,5100,397,355
0,5108,395,354
0,5116,394,354
0,5124,392,354
0,5132,390,354
0,5140,388,354
0,5148,388,354
0,5156,386,355
0,5164,386,355
0,5172,385,355
0,5180,385,355
0,5188,384,355
0,5196,384,355
0,5204,382,356
0,5212,381,356
0,5220,380,356
0,5228,377,357
0,5236,375,359
0,5244,373,359
0,5252,371,360
0,5260,370,360
0,5268,369,360
0,5276,368,361
0,5284,366,361
0,5292,366,361
0,5300,365,361
0,5316,365,361
0,5332,364,361
0,5347,364,361
0,5363,363,362
0,5379,362,362
0,5395,362,362
0,5403,361,362
0,5411,361,362
0,5419,360,362
0,5427,359,362
0,5435,358,362
0,5443,358,362
0,5451,357,362
0,5459,357,362
0,5467,356,362
0,5476,356,362
0,5548,356,362
