index,millis,x,y
0,0,390,228
0,1,390,229
0,1,392,230
0,1,395,231
0,1,405,234
0,1,413,235
0,1,425,237
0,9,447,237
0,17,470,236
0,25,487,235
0,33,503,234
0,41,507,233
0,49,510,232
0,57,510,232
0,2521,510,232
0,2529,507,233
0,2537,505,234
0,2545,499,236
0,2553,492,241
0,2561,490,243
0,2569,490,245
0,2577,492,247
0,2585,498,250
0,2593,507,253
0,2600,525,260
0,2608,539,265
0,2616,552,268
0,2624,576,275
0,2632,588,278
0,2640,600,280
0,2648,614,284
0,2656,621,287
0,2664,627,290
0,2672,633,293
0,2680,636,295
0,2688,638,297
0,2696,640,299
0,2704,641,300
0,2712,642,303
0,2720,644,305
0,2728,644,307
0,2736,645,309
0,2744,647,311
0,2752,647,312
0,2761,649,314
0,2769,650,316
0,2777,651,316
0,2785,652,317
0,2793,653,317
0,2809,653,318
0,2817,654,318
0,3161,653,318
0,3169,653,318
0,3177,652,317
0,3185,650,317
0,3193,649,317
0,3201,648,317
0,3209,647,317
0,3217,646,317
0,3225,645,317
0,3233,643,317
0,3241,642,317
0,3249,641,318
0,3257,638,318
0,3265,636,319
0,3273,634,319
0,3281,631,321
0,3289,629,321
0,3297,627,321
0,3305,624,322
0,3313,623,323
0,3321,622,323
0,3328,620,324
0,3336,619,324
0,3344,619,324
0,3353,618,324
0,3361,617,324
0,3369,617,324
0,3377,616,324
0,3393,616,324
0,3553,616,324
0,3561,616,324
0,3569,617,324
0,4201,618,325
0,4216,618,325
0,4257,619,325
0,4297,619,325
0,4401,620,325
0,4657,620,326
0,4665,620,326
0,4681,620,327
0,6417,620,327
0,6425,619,330
0,6433,619,335
0,6441,619,344
0,6449,619,365
0,6457,618,382
0,6465,615,405
0,6473,608,450
0,6481,602,484
0,6489,599,520
0,6497,597,580
0,6505,597,621
0,6513,597,656
0,6521,597,708
0,6529,597,730
0,6537,600,753
0,6545,603,776
0,6553,603,790
0,6561,603,800
0,6569,603,813
0,6577,603,823
0,6585,603,831
0,6593,603,841
0,6601,603,847
0,6609,603,851
0,6617,603,855
0,6625,603,857
0,6633,603,858
0,6641,603,859
0,6649,603,860
0,6713,603,860
0,6721,604,861
0,6737,604,861
0,6745,605,861
0,6761,605,862
0,6769,606,862
0,6777,606,864
0,6793,606,864
0,6801,606,866
0,6809,607,873
0,6817,609,885
0,6825,609,894
0,6833,609,905
0,6841,609,919
0,6849,609,929
0,6857,609,938
0,6865,609,950
0,6873,608,957
0,6880,608,965
0,6888,608,977
0,6896,608,983
0,6904,608,990
0,6912,608,998
0,6920,608,1004
0,6928,608,1008
0,6936,608,1013
0,6944,608,1017
0,6952,608,1020
0,6960,608,1024
0,6968,608,1026
0,6976,608,1029
0,6984,607,1032
0,6992,607,1034
0,7000,607,1036
0,7008,607,1038
0,7016,607,1040
0,7024,607,1042
0,7032,607,1044
0,7040,607,1044
0,7048,607,1045
0,7056,607,1047
0,7064,607,1048
0,7072,607,1049
0,7080,607,1050
0,7088,607,1052
0,7096,608,1053
0,7104,609,1055
0,7112,609,1057
0,7120,609,1058
0,7128,609,1060
0,7136,609,1061
0,7144,609,1062
0,7152,609,1063
0,7160,610,1064
0,7168,610,1066
0,7177,610,1066
0,7185,610,1068
0,7193,610,1068
0,7201,610,1069
0,7209,610,1069
0,7225,610,1070
0,7265,610,1070
