index,millis,x,y
0,0,1396,541
0,44,1396,540
0,52,1396,538
0,60,1395,534
0,68,1394,532
0,76,1394,530
0,84,1393,527
0,92,1393,524
0,100,1393,522
0,108,1391,519
0,116,1391,518
0,124,1391,516
0,132,1391,513
0,140,1391,511
0,148,1391,510
0,156,1391,508
0,164,1391,507
0,172,1391,507
0,180,1391,506
0,188,1391,505
0,196,1391,504
0,204,1391,504
0,212,1391,503
0,220,1391,503
0,228,1391,502
0,243,1391,501
0,251,1391,500
0,259,1391,500
0,268,1391,499
0,276,1391,498
0,284,1391,497
0,292,1391,496
0,300,1391,496
0,308,1391,495
0,316,1391,494
0,324,1391,493
0,331,1391,493
0,340,1391,492
0,348,1391,492
0,363,1391,491
0,396,1391,491
