index,millis,x,y
0,0,396,64
0,1,398,65
0,1,399,66
0,1,402,66
0,1,408,67
0,1,414,68
0,1,423,68
0,1,438,70
0,1,451,71
0,1,466,71
0,1,492,73
0,9,512,73
0,17,531,73
0,25,564,73
0,33,583,73
0,41,597,73
0,49,616,73
0,57,629,71
0,65,640,69
0,73,655,65
0,81,665,63
0,90,673,61
0,98,683,58
0,106,690,55
0,114,694,55
0,122,696,54
0,130,700,53
0,138,703,52
0,146,707,51
0,154,710,50
0,162,712,50
0,170,713,50
0,178,714,49
0,274,714,49
0,282,715,49
0,290,719,49
0,298,725,48
0,306,730,48
0,314,742,48
0,322,753,47
0,330,765,46
0,338,786,43
0,346,801,42
0,354,814,42
0,362,828,42
0,370,830,42
0,378,840,42
0,386,851,42
0,394,859,42
0,418,867,42
0,426,871,42
0,433,878,42
0,442,883,42
0,450,886,42
0,458,891,42
0,466,893,42
0,473,894,42
0,482,897,42
0,489,897,42
0,498,898,41
0,505,899,41
0,513,900,41
0,521,902,41
0,529,904,41
0,537,907,41
0,545,910,41
0,553,913,41
0,561,918,41
0,569,922,41
0,577,927,41
0,585,934,41
0,593,939,41
0,601,945,41
0,609,953,41
0,617,958,41
0,625,966,41
0,633,972,41
0,641,976,41
0,650,981,41
0,658,987,41
0,666,991,41
0,674,994,40
0,682,998,40
0,690,999,39
0,698,1002,39
0,706,1005,39
0,714,1007,39
0,722,1007,39
0,730,1009,39
0,738,1011,39
0,746,1011,39
0,754,1012,39
0,762,1012,39
0,833,1013,39
0,841,1013,39
0,849,1014,39
0,857,1015,39
0,865,1017,38
0,873,1019,38
0,881,1022,38
0,889,1024,38
0,897,1027,37
0,905,1029,36
0,913,1031,35
0,921,1034,33
0,929,1036,33
0,937,1038,32
0,945,1040,30
0,953,1042,30
0,961,1044,29
0,969,1045,27
0,977,1047,27
0,985,1048,27
0,993,1049,27
0,1001,1050,27
0,1009,1051,26
0,1017,1052,26
0,1025,1053,26
0,1033,1053,26
0,1041,1054,26
0,1049,1055,25
0,1065,1055,25
0,1089,1056,25
0,1105,1056,25
0,1113,1057,25
0,1121,1057,25
0,1129,1058,25
0,1242,1058,25
0,1250,1058,25
0,1258,1058,26
0,1266,1058,26
0,1274,1058,27
0,1282,1058,27
0,1290,1058,29
0,1298,1058,30
0,1306,1058,31
0,1314,1058,33
0,1322,1058,33
0,1329,1058,34
0,1377,1058,34
