index,millis,x,y
0,0,463,963
0,1,463,964
0,1,464,965
0,1,467,966
0,1,469,966
0,1,473,967
0,1,478,969
0,1,482,971
0,1,488,971
0,1,494,974
0,1,498,974
0,1,502,975
0,1,507,976
0,2,511,978
0,10,516,979
0,18,519,979
0,26,522,981
0,35,523,981
0,42,524,981
0,50,524,981
0,58,525,981
0,74,525,981
0,178,526,981
0,186,526,981
0,195,528,980
0,203,530,980
0,211,532,978
0,219,538,973
0,227,542,968
0,235,549,960
0,243,561,946
0,251,571,935
0,259,583,920
0,267,603,895
0,275,617,880
0,283,630,865
0,291,638,858
0,531,632,858
0,539,622,859
0,547,610,859
0,555,596,859
0,563,566,859
0,571,536,859
0,579,503,859
0,587,451,865
0,595,414,870
0,603,359,878
0,611,325,882
0,619,294,885
0,627,247,889
0,635,213,892
0,643,186,892
0,651,140,892
0,659,116,892
0,667,91,892
0,675,56,892
0,683,36,892
0,691,22,892
0,699,2,892
0,707,-9,892
0,715,-9,892
0,723,-11,892
0,731,-11,892
0,739,-6,891
0,747,-6,888
0,755,-8,887
0,763,-5,884
0,771,-4,883
0,779,-6,880
0,787,-5,878
0,795,-3,876
0,803,-6,872
0,811,-3,869
0,819,-2,865
0,827,-1,861
0,835,-1,858
0,843,0,854
0,851,0,847
0,859,0,841
0,867,0,836
0,875,0,829
0,883,0,825
0,891,0,822
0,899,0,820
0,907,0,819
0,915,1,818
0,923,1,817
0,931,2,817
0,939,3,816
0,947,5,815
0,955,6,814
0,963,7,813
0,971,9,813
0,979,9,812
0,987,11,811
0,995,12,810
0,1003,13,807
0,1011,14,805
0,1019,17,802
0,1027,17,800
0,1035,18,797
0,1043,19,795
0,1051,19,795
0,1066,19,794
0,1082,19,793
0,1106,19,793
0,1203,19,792
0,1211,19,792
0,1218,19,791
0,1226,19,791
0,1234,19,790
0,1258,19,790
0,1506,19,790
