index,millis,x,y
0,0,945,450
0,1,946,451
0,7,954,453
0,15,962,458
0,28,972,461
0,31,984,466
0,39,992,470
0,48,1000,473
0,55,1013,476
0,63,1020,479
0,72,1026,481
0,79,1032,484
0,87,1034,486
0,95,1036,487
0,103,1037,488
0,111,1038,488
0,119,1038,489
0,127,1039,489
0,135,1039,490
0,151,1039,490
0,159,1039,491
0,167,1039,491
0,391,1039,492
0,399,1039,492
0,408,1039,493
0,415,1039,494
0,423,1039,495
0,431,1039,496
0,439,1039,499
0,447,1039,500
0,455,1039,501
0,463,1039,502
0,735,1039,502
0,743,1038,502
0,751,1036,501
0,759,1033,500
0,767,1028,497
0,775,1022,494
0,783,1014,488
0,791,1010,484
0,799,1004,480
0,807,998,475
0,815,994,472
0,823,991,470
0,832,988,467
0,839,987,466
0,848,985,465
0,856,985,465
0,871,985,464
0,888,985,464
0,904,985,463
0,920,985,462
0,928,985,462
0,943,984,461
0,992,984,461
0,1007,984,461
0,1015,984,461
0,1023,982,461
0,1032,981,461
0,1039,979,461
0,1047,976,461
0,1055,974,461
0,1063,973,462
0,1071,969,463
0,1079,969,463
0,1087,967,463
0,1095,966,464
0,1103,965,464
0,1111,965,465
0,1176,965,465
