index,millis,x,y
0,0,711,914
0,1,711,913
0,1,709,913
0,1,705,913
0,1,700,912
0,1,694,911
0,1,682,910
0,1,670,909
0,1,657,908
0,5,627,902
0,13,601,895
0,21,564,888
0,29,507,880
0,37,466,873
0,46,426,868
0,53,366,860
0,61,329,854
0,69,289,849
0,77,231,839
0,85,194,832
0,94,159,825
0,102,111,813
0,110,99,810
0,118,88,808
0,126,80,805
0,134,77,804
0,142,75,802
0,150,73,802
0,158,72,801
0,214,71,801
0,230,70,801
0,237,68,801
0,246,68,801
0,254,67,801
0,262,66,801
0,269,65,801
0,277,64,801
0,285,62,801
0,293,61,801
0,301,57,800
0,309,52,799
0,317,48,797
0,325,38,796
0,333,33,794
0,341,26,792
0,350,15,789
0,358,10,788
0,365,6,786
0,373,1,784
0,381,-1,782
0,389,-2,781
0,397,-1,780
0,405,-1,778
0,413,0,778
0,421,0,777
0,437,0,776
0,557,0,776
0,573,1,776
0,581,1,776
0,589,2,777
0,597,2,777
0,605,4,778
0,613,5,779
0,629,6,781
0,637,8,782
0,650,8,783
0,659,9,783
0,664,9,784
0,671,10,784
0,677,10,785
0,686,11,786
0,703,11,786
0,710,11,787
0,734,12,787
0,782,12,787
