index,millis,x,y
0,0,371,49
0,1,374,51
0,1,378,53
0,1,390,57
0,1,399,60
0,1,410,62
0,1,423,67
0,1,434,69
0,1,445,72
0,1,463,77
0,5,472,80
0,13,479,82
0,21,486,84
0,29,490,84
0,37,490,84
0,230,490,85
0,246,490,85
0,254,491,85
0,757,491,85
0,5653,491,85
0,5661,496,92
0,5670,501,102
0,5677,515,123
0,5685,547,184
0,5694,571,239
0,5701,594,302
0,5710,622,402
0,5718,639,474
0,5725,651,546
0,5733,660,634
0,5741,668,681
0,5749,681,710
0,5757,697,725
0,5766,701,727
0,5773,702,727
0,5966,702,727
0,5974,703,726
0,5982,704,726
0,5990,706,729
0,5998,711,738
0,6006,716,750
0,6014,721,762
0,6022,730,790
0,6030,736,816
0,6038,743,848
0,6051,753,899
0,6068,758,930
0,6068,764,957
0,6070,772,987
0,6078,777,998
0,6086,781,1008
0,6093,788,1016
0,6101,792,1022
0,6109,794,1026
0,6117,797,1031
0,6126,799,1033
0,6134,800,1034
0,6142,802,1037
0,6149,802,1037
0,6157,803,1038
0,6165,803,1038
0,6173,803,1039
0,6214,803,1039
0,6222,803,1037
0,6229,803,1036
0,6237,803,1034
0,6245,803,1032
0,6253,803,1030
0,6261,802,1026
0,6269,801,1022
0,6277,800,1019
0,6285,796,1012
0,6293,794,1007
0,6301,791,1002
0,6309,788,995
0,6317,785,989
0,6325,783,985
0,6333,781,980
0,6342,780,977
0,6350,779,976
0,6382,779,976
