index,millis,x,y
0,0,921,37
0,629,919,37
0,637,915,37
0,645,913,37
0,653,909,37
0,661,905,38
0,669,898,39
0,677,894,39
0,685,887,39
0,693,882,39
0,701,878,39
0,709,872,39
0,717,868,39
0,725,866,39
0,733,863,39
0,741,862,39
0,749,861,39
0,757,860,39
0,765,859,39
0,773,859,39
0,782,857,39
0,790,856,38
0,798,855,38
0,806,854,38
0,813,852,38
0,821,851,38
0,829,849,38
0,838,848,37
0,845,845,37
0,853,842,37
0,861,841,37
0,869,839,36
0,877,837,36
0,885,836,36
0,893,834,36
0,901,833,36
0,909,832,36
0,917,830,36
0,925,830,36
0,933,829,36
0,941,828,36
0,981,828,36
