index,millis,x,y
0,0,302,406
0,570,302,407
0,578,302,408
0,586,303,411
0,594,303,414
0,602,303,417
0,610,303,419
0,618,303,422
0,626,303,425
0,634,303,429
0,642,303,437
0,650,303,441
0,658,303,446
0,666,303,454
0,674,303,460
0,682,303,464
0,690,303,471
0,698,303,475
0,706,303,478
0,714,305,484
0,722,306,487
0,730,306,489
0,738,308,492
0,746,308,493
0,754,309,495
0,762,310,495
0,786,310,496
0,1003,310,496
0,1050,310,497
0,1082,310,498
0,1098,310,498
0,1106,310,499
0,1114,310,499
0,1130,310,500
0,1138,310,500
0,1146,309,501
0,1154,307,502
0,1162,304,502
0,1170,301,502
0,1178,295,502
0,1186,291,502
0,1194,287,502
0,1202,279,502
0,1210,274,502
0,1218,267,501
0,1227,257,498
0,1235,253,497
0,1242,248,495
0,1250,242,492
0,1258,240,491
0,1266,239,490
0,1274,237,489
0,1298,237,488
0,1442,237,488
0,1466,237,487
0,1482,236,487
0,1490,235,484
0,1499,235,483
0,1507,235,482
0,1515,235,481
0,1531,235,480
0,1539,235,480
0,1563,235,479
0,2434,235,479
0,2458,235,479
0,2466,235,480
0,2474,235,481
0,2482,235,482
0,2490,235,483
0,2498,235,483
0,2506,235,484
0,2514,235,487
0,2522,235,488
0,2530,235,491
0,2538,235,493
0,2546,236,496
0,2554,239,500
0,2562,240,502
0,2570,240,504
0,2578,243,507
0,2586,243,509
0,2594,245,510
0,2602,246,512
0,2610,247,512
0,2618,247,513
0,2634,247,513
0,3499,248,515
0,3506,249,517
0,3514,251,519
0,3522,253,527
0,3530,255,535
0,3538,257,547
0,3546,259,570
0,3554,261,587
0,3562,264,610
0,3570,273,648
0,3578,278,669
0,3586,285,689
0,3594,296,712
0,3602,303,722
0,3610,309,729
0,3618,313,735
0,3626,318,743
0,3634,321,747
0,3643,324,750
0,3650,324,752
0,3658,324,753
0,3682,324,753
0,3698,324,753
0,3698,324,753
