index,millis,x,y
0,0,154,483
0,10671,318,479
0,10679,317,479
0,10687,316,479
0,10695,314,477
0,10703,309,474
0,10711,303,473
0,10720,298,470
0,10728,289,466
0,10735,282,463
0,10744,275,461
0,10751,265,457
0,10759,259,455
0,10768,253,452
0,10775,245,450
0,10783,240,449
0,10791,235,447
0,10799,230,446
0,10807,226,446
0,10815,224,446
0,10823,223,446
0,10831,221,446
0,10839,220,446
0,10847,220,446
0,10855,219,446
0,10863,219,446
0,10895,218,446
0,10903,218,446
0,10911,217,446
0,10919,216,445
0,10927,215,444
0,10935,215,444
0,10943,214,444
0,10951,213,444
0,10959,213,444
0,10983,212,444
0,11095,212,443
0,11103,211,443
0,11111,210,441
0,11119,210,441
0,11127,209,440
0,11143,209,440
0,11151,209,439
0,11239,209,439
