index,millis,x,y
0,0,469,481
0,1080,470,480
0,1088,472,478
0,1096,474,477
0,1104,475,475
0,1112,476,475
0,1120,479,472
0,1128,479,471
0,1136,480,470
0,1144,481,467
0,1152,481,467
0,1160,482,466
0,1168,482,465
0,1400,482,464
0,1408,482,463
0,1448,482,462
0,1520,482,462
0,1528,480,462
0,1536,479,462
0,1544,479,462
0,1552,478,462
0,1568,477,461
0,1576,475,456
0,1584,473,453
0,1592,471,450
0,1600,468,441
0,1608,464,436
0,1616,461,432
0,1624,456,424
0,1632,452,420
0,1640,448,415
0,1648,444,406
0,1656,442,401
0,1664,439,396
0,1672,436,387
0,1680,434,382
0,1690,430,374
0,1696,427,365
0,1704,424,358
0,1712,422,351
0,1720,418,341
0,1728,418,337
0,1735,416,331
0,1743,416,327
0,1751,414,321
0,1759,413,319
0,1767,412,316
0,1775,411,312
0,1783,411,310
0,1791,410,308
0,1799,406,305
0,1807,404,303
0,1815,402,300
0,1823,397,297
0,1831,394,294
0,1839,389,291
0,1847,387,290
0,1855,387,289
0,1863,386,288
0,1936,386,288
0,1944,386,288
0,1952,388,288
0,1960,388,288
0,1968,390,289
0,1976,391,290
0,1984,392,292
0,1992,395,295
0,2000,396,296
0,2008,397,297
0,2016,397,297
0,2024,398,298
0,2032,399,299
0,2040,399,300
0,2048,400,301
0,2056,401,301
0,2064,402,303
0,2072,404,304
0,2080,404,305
0,2088,405,306
0,2096,405,307
0,2104,406,308
0,2112,408,310
0,2120,408,311
0,2128,410,312
0,2136,410,312
0,2144,410,312
0,2152,410,314
0,2192,411,314
0,2208,411,314
0,2216,411,314
0,2231,411,312
0,2239,411,312
0,2247,411,310
0,2255,411,309
0,2263,412,307
0,2271,412,306
0,2279,414,303
0,2287,414,301
0,2295,414,300
0,2303,415,299
0,2311,415,299
0,2351,415,299
