index,millis,x,y
0,0,837,36
0,40,837,35
0,207,835,35
0,216,834,40
0,224,830,52
0,232,827,67
0,240,819,92
0,248,805,146
0,256,788,192
0,264,763,248
0,272,725,333
0,280,694,394
0,288,660,455
0,296,608,538
0,304,577,592
0,312,552,632
0,320,525,670
0,328,518,680
0,336,512,685
0,344,506,687
0,352,499,689
0,360,496,690
0,640,496,690
0,672,496,690
0,680,494,690
0,688,492,690
0,696,491,690
0,704,488,691
0,712,487,692
0,720,484,694
0,728,481,695
0,736,475,698
0,744,472,701
0,752,468,705
0,760,461,709
0,768,456,712
0,776,451,714
0,784,444,719
0,792,440,721
0,800,435,724
0,807,429,728
0,816,426,730
0,823,423,731
0,831,420,733
0,840,419,734
0,847,417,735
0,855,416,736
0,863,415,737
0,871,415,738
0,879,414,739
0,887,413,739
0,895,413,740
0,904,412,741
0,912,412,742
0,920,412,742
0,928,412,744
0,936,411,744
0,944,411,745
0,952,411,746
0,960,410,747
0,968,410,748
0,976,410,749
0,984,410,750
0,992,409,750
0,1000,409,751
0,1008,409,751
0,1016,409,752
0,1024,409,753
0,1032,409,754
0,1040,409,754
0,1048,409,755
0,1056,409,755
0,1064,409,756
0,1072,409,757
0,1079,409,758
0,1087,409,758
0,1095,409,760
0,1103,409,760
0,1111,409,760
0,1119,409,762
0,1128,409,762
0,1136,409,763
0,1144,409,764
0,1168,409,764
0,1232,409,765
0,1656,409,765
