index,millis,x,y
0,0,1056,35
0,2770,1054,35
0,2778,1049,38
0,2786,1042,42
0,2794,1027,51
0,2802,1014,55
0,2810,1005,58
0,2818,969,73
0,2826,925,88
0,2834,881,107
0,2842,807,140
0,2850,754,171
0,2857,700,204
0,2865,624,255
0,2873,614,263
0,2881,581,290
0,2889,531,333
0,2897,520,346
0,2905,512,354
0,2913,505,358
0,2921,501,358
0,2929,499,356
0,2937,499,356
0,3097,499,356
0,3105,497,356
0,3113,496,356
0,3121,495,356
0,3129,492,354
0,3137,491,352
0,3145,488,348
0,3153,482,341
0,3161,477,333
0,3169,469,325
0,3177,454,312
0,3185,443,306
0,3193,433,301
0,3201,415,295
0,3209,405,291
0,3217,394,289
0,3225,382,288
0,3234,377,287
0,3242,372,286
0,3250,368,286
0,3258,365,286
0,3266,365,286
0,3298,364,286
0,3417,364,286
0,3425,364,285
0,3433,364,284
0,3441,364,283
0,3449,364,282
0,3457,364,280
0,3465,366,278
0,3474,367,276
0,3482,367,274
0,3490,368,272
0,3498,369,270
0,3506,370,268
0,3514,370,266
0,3522,371,265
0,3530,372,264
0,3538,372,262
0,3554,373,262
0,3626,373,262
